,Acousticness,Album,Artist,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,TimeSignature,Valence
85,0.898,Messenger,Edwin McCain,0.496,277667,0.378,False,1.18e-06,0.109,-7.878,1,I'll Be - Acoustic Version,62,0.0336,144.092,3,0.335
115,0.667,Nobody's Fault But Mine,Edwin McCain,0.438,233360,0.507,False,0,0.244,-5.344,1,I've Got Dreams to Remember,5,0.0278,139.838,3,0.25
145,0.711,The Austin Sessions,Edwin McCain,0.47,348747,0.499,False,8.97e-06,0.186,-6.326,1,Sorry to a Friend,7,0.0265,144.682,4,0.339
22,0.0726,Keep Your Wig On,Fastball,0.433,161787,0.793,False,0.0,0.268,-5.729,1,Mercenary Girl,9,0.0321,151.927,4,0.812
52,0.0041,Step Into Light,Fastball,0.564,201293,0.757,False,1.84e-06,0.182,-5.62,1,Best Friend,22,0.0339,129.028,4,0.65
82,0.0305,The Help Machine,Fastball,0.439,138227,0.843,False,0.0,0.299,-7.358,1,The Girl You Pretended to Be,19,0.0676,154.047,4,0.77
26,0.0733,A Little Bit Of Me: Live In L.A.,Melissa Etheridge,0.637,336987,0.855,False,0.000128,0.577,-6.675,1,I Won't Be Alone Tonight - Live,12,0.0547,145.974,4,0.536
56,0.00727,Brave And Crazy,Melissa Etheridge,0.385,429040,0.733,False,0.00814,0.356,-10.851,1,Royal Station 4/16,19,0.0461,98.956,4,0.716
86,0.0487,Fearless Love,Melissa Etheridge,0.373,226933,0.845,False,0.0,0.253,-4.28,1,Heaven On Earth,4,0.0406,168.023,4,0.481
116,0.0529,Live in the Windy City (Live 1989),Melissa Etheridge,0.286,315678,0.835,False,0.000195,0.478,-12.858,1,Bring Me Some Water,7,0.143,132.184,4,0.482
146,0.0192,Lucky Live,Melissa Etheridge,0.205,517680,0.859,False,0.0,0.976,-5.961,1,Giant - Live From Roseland,0,0.0793,90.995,4,0.26
